city,country,archetype,lat,lon,gw_base_m,vs30_mu,n_pairs,mean_gap,ci_lo,ci_hi,sign
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,210.0,72,0.02851,0.012,0.04508,positive
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,200.0,72,0.02688,0.01228,0.04045,positive
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,240.0,72,0.02606,0.00776,0.04162,positive
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,270.0,72,0.02206,0.00357,0.03902,positive
Tokyo,Japan,coastal,35.6762,139.6503,5.0,270.0,72,0.0202,0.00304,0.03748,positive
Manila,Philippines,coastal,14.5995,120.9842,3.5,230.0,72,0.01976,0.00211,0.03591,positive
Tianjin,China,deltaic,39.1421,117.1767,2.5,220.0,72,0.01843,0.00432,0.03253,positive
Beijing,China,mixed,39.9042,116.4074,11.0,310.0,72,0.01843,-0.00313,0.03891,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,260.0,72,0.01395,-0.00479,0.03432,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,380.0,72,0.01318,-0.00849,0.03337,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,250.0,72,0.01306,-0.00491,0.0302,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,320.0,72,0.01202,-0.00498,0.029,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,310.0,72,0.01152,-0.0071,0.03051,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,350.0,72,0.00949,-0.00752,0.02786,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,220.0,72,0.00938,-0.00752,0.02448,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,330.0,72,0.00912,-0.00866,0.02759,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,240.0,72,0.00765,-0.01085,0.0249,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,340.0,72,0.00718,-0.01097,0.02512,zero-crossing
