event,Mw,R_km,predicted_PGA_mean_g,predicted_PGA_p10,predicted_PGA_p90,observed_PGA_range_g,PGA_match,predicted_damage_rate,predicted_damage_p10,predicted_damage_p90,observed_damage_range,damage_match,reference_citation
2010_Darfield,7.1,38.0,0.1949,0.1793,0.2102,"[0.18, 0.35]",True,0.6043,0.5539,0.6514,"[0.05, 0.15]",False,"Bradley & Cubrinovski (2011), Cubrinovski et al. (2011 BNZSEE)"
2011_February,6.3,10.0,0.3454,0.3178,0.3726,"[0.5, 0.8]",False,0.7735,0.7439,0.8015,"[0.3, 0.6]",False,Bradley (2012) Soil Dyn EQ Eng; Cubrinovski et al. (2012); Mason et al. (2017)
