city,country,archetype,lat,lon,seed,ssp,epoch,mc,dGW,method,mean_dmg_final,mean_p_liq,mean_pga_g,gw_base_m,vs30_mu,n_nodes_graph
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,0,0.0,B0_static_hazus,0.2773606892819532,0.295168793270797,0.21835844692703615,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,0,0.0,B4_cgstg_full,0.6214163279145665,0.26755369185668726,0.1922690523365148,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,1,0.0,B0_static_hazus,0.24862150771478678,0.24412978245639802,0.2046499752711263,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,1,0.0,B4_cgstg_full,0.5676293176082724,0.21289748678833875,0.19396836621988953,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,2,0.0,B0_static_hazus,0.2888072186059445,0.324859378784954,0.2225724545079085,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,2,0.0,B4_cgstg_full,0.5905539545884724,0.2863404843535969,0.21686333472148686,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,3,0.0,B0_static_hazus,0.27271211261344724,0.28437016144167687,0.21937358644494,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,3,0.0,B4_cgstg_full,0.6218394218808448,0.2646696296360368,0.20473320612214524,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,4,0.0,B0_static_hazus,0.2359051642844013,0.23532423130805322,0.19258783629718063,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,4,0.0,B4_cgstg_full,0.5039978669516759,0.27819252678703393,0.19566522046541374,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,5,0.0,B0_static_hazus,0.25630633459974594,0.3067470954932831,0.21123594534782283,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,5,0.0,B4_cgstg_full,0.6538711056997727,0.3049090221183782,0.21565615595205223,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,6,0.0,B0_static_hazus,0.22820867708801001,0.2411130799820302,0.2052514393663773,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,6,0.0,B4_cgstg_full,0.6144458639214725,0.26152062428835493,0.201145283890029,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,7,0.0,B0_static_hazus,0.28334933401335294,0.29515676685434333,0.22309855909696813,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,7,0.0,B4_cgstg_full,0.592463122537373,0.26640182033138193,0.21889468366415682,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,8,0.0,B0_static_hazus,0.26729864898219863,0.25256087461056237,0.2223588098844812,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,8,0.0,B4_cgstg_full,0.6522286482920961,0.31118963523659293,0.21878320023044584,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,9,0.0,B0_static_hazus,0.2227491247251791,0.21460050010535803,0.19061964113964944,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,9,0.0,B4_cgstg_full,0.5912766287925069,0.2188668685837896,0.1832463490634941,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,10,0.0,B0_static_hazus,0.27126166682218106,0.29726074294044,0.21285478406178998,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,10,0.0,B4_cgstg_full,0.5288707888737593,0.24818972275723414,0.184339686653232,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,11,0.0,B0_static_hazus,0.26189095716248273,0.24660649369738716,0.22137139004308706,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,11,0.0,B4_cgstg_full,0.5514965936246145,0.27752400033540264,0.2249019100683486,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,0,-0.8201649239288099,B0_static_hazus,0.25399236607512493,0.27643464061423134,0.2047553257296568,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,0,-0.8201649239288099,B4_cgstg_full,0.472713005611944,0.2635665392576987,0.18915651793253543,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,1,-1.1115651245014597,B0_static_hazus,0.2518752869594478,0.287491184275618,0.2025359494001081,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,1,-1.1115651245014597,B4_cgstg_full,0.6103483812605364,0.32932969021400776,0.1933298639198832,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,2,-1.1332006055040078,B0_static_hazus,0.21420213908275793,0.2023703687083776,0.1800351858700635,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,2,-1.1332006055040078,B4_cgstg_full,0.5652985743784851,0.2951382337139382,0.20874411153808656,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,3,-0.9162750665518006,B0_static_hazus,0.2581296128057245,0.29491650139956344,0.20965019047363834,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,3,-0.9162750665518006,B4_cgstg_full,0.6256456331801588,0.3487675154667908,0.22430247647113785,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,4,-1.0260756816360534,B0_static_hazus,0.2859070893680329,0.3146498373866274,0.22767564962432132,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,4,-1.0260756816360534,B4_cgstg_full,0.6488921352106178,0.34727724716457686,0.20942001982910988,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,5,-1.4093452533068407,B0_static_hazus,0.2371742333880287,0.2509341759097565,0.19665318006725968,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,5,-1.4093452533068407,B4_cgstg_full,0.5905051274697385,0.28978236398144913,0.19597668403900084,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,6,-1.107142361188185,B0_static_hazus,0.2416257884892619,0.2798354526774958,0.20096295087089242,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,6,-1.107142361188185,B4_cgstg_full,0.6455838057823693,0.3417139760157263,0.21119130243494053,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,7,-1.5011567420475598,B0_static_hazus,0.2413538484957291,0.2411356136319977,0.21187384146783764,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2100,7,-1.5011567420475598,B4_cgstg_full,0.5708877269690549,0.31833366522908324,0.19652698376200803,2.493199838083051,221.6618274663144,120
