city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,ci_lo,ci_hi,sign
Mumbai,India,coastal,19.076,72.8777,5.0,SSP2-4.5,72,-0.00481,-0.02724,0.01554,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP5-8.5,72,0.01182,-0.00898,0.03458,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,Control-NoCC,72,0.01529,-0.00376,0.03225,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP1-2.6,72,0.01828,-0.00286,0.03889,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP2-4.5,72,0.01334,-0.00491,0.03182,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP5-8.5,72,0.00702,-0.01201,0.02449,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,Control-NoCC,72,0.0118,-0.00901,0.03273,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP1-2.6,72,0.02352,0.00357,0.04439,positive
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP2-4.5,72,0.00424,-0.01666,0.02412,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP5-8.5,72,0.002,-0.01559,0.01952,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,Control-NoCC,72,0.00679,-0.01373,0.02755,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP1-2.6,72,0.0083,-0.01126,0.0273,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP2-4.5,72,0.00441,-0.01714,0.02273,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP5-8.5,72,0.00434,-0.01736,0.02678,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,Control-NoCC,72,0.01034,-0.00756,0.03014,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP1-2.6,72,0.01599,-0.00613,0.03718,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP2-4.5,72,0.00021,-0.02221,0.02155,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP5-8.5,72,0.00358,-0.01986,0.02534,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,Control-NoCC,72,0.00854,-0.0146,0.03028,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP1-2.6,72,0.00441,-0.01708,0.02579,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP2-4.5,72,-0.00049,-0.02193,0.01924,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP5-8.5,72,-0.00399,-0.02829,0.01846,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,Control-NoCC,72,0.01522,-0.00281,0.03364,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,SSP1-2.6,72,0.01613,-0.00629,0.03758,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,SSP2-4.5,72,-0.0046,-0.02599,0.01673,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,SSP5-8.5,72,0.01496,-0.00487,0.03615,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,Control-NoCC,72,0.00993,-0.00827,0.02887,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,SSP1-2.6,72,0.01595,-0.00479,0.03654,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,SSP2-4.5,72,0.00369,-0.01725,0.02235,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,SSP5-8.5,72,0.00813,-0.01123,0.02702,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,Control-NoCC,72,0.00132,-0.0182,0.02176,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,SSP1-2.6,72,0.02066,-0.00095,0.04206,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,SSP2-4.5,72,-0.00843,-0.03353,0.01269,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,SSP5-8.5,72,0.00151,-0.02177,0.02611,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,Control-NoCC,72,0.00833,-0.01127,0.02885,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,SSP1-2.6,72,0.01892,-0.00239,0.04163,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,SSP2-4.5,72,-0.00352,-0.02714,0.01911,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,SSP5-8.5,72,0.00204,-0.01777,0.02272,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,Control-NoCC,72,-0.00493,-0.0267,0.01774,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,SSP1-2.6,72,0.01517,-0.00664,0.03645,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,SSP2-4.5,72,0.00421,-0.01977,0.02571,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,SSP5-8.5,72,0.00823,-0.01491,0.03102,zero-crossing
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,Control-NoCC,72,0.00541,-0.00823,0.02011,zero-crossing
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,SSP1-2.6,72,0.01798,0.00303,0.03402,positive
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,SSP2-4.5,72,0.01012,-0.0039,0.02421,zero-crossing
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,SSP5-8.5,72,0.02001,0.00142,0.03751,positive
Shanghai,China,deltaic,31.2304,121.4737,2.5,Control-NoCC,72,0.01573,0.00087,0.03057,positive
Shanghai,China,deltaic,31.2304,121.4737,2.5,SSP1-2.6,72,0.00931,-0.00719,0.02683,zero-crossing
Shanghai,China,deltaic,31.2304,121.4737,2.5,SSP2-4.5,72,0.01602,-0.00154,0.03218,zero-crossing
Shanghai,China,deltaic,31.2304,121.4737,2.5,SSP5-8.5,72,0.01765,0.00241,0.03395,positive
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,Control-NoCC,72,0.00367,-0.01575,0.0232,zero-crossing
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,SSP1-2.6,72,0.02717,0.00976,0.04439,positive
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,SSP2-4.5,72,0.01489,-0.00304,0.03287,zero-crossing
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,SSP5-8.5,72,0.02099,0.00336,0.03936,positive
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,Control-NoCC,72,0.0089,-0.01141,0.02853,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,SSP1-2.6,72,0.01681,-0.00269,0.03774,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,SSP2-4.5,72,-0.00457,-0.02653,0.01697,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,SSP5-8.5,72,0.00574,-0.01578,0.02477,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,Control-NoCC,72,0.00174,-0.01977,0.02128,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,SSP1-2.6,72,0.0126,-0.01069,0.03409,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,SSP2-4.5,72,0.00159,-0.01977,0.022,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,SSP5-8.5,72,0.01129,-0.00738,0.03199,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,Control-NoCC,72,0.00333,-0.01789,0.02231,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,SSP1-2.6,72,0.02058,1e-05,0.04375,positive
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,SSP2-4.5,72,-0.00811,-0.03165,0.01431,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,SSP5-8.5,72,0.00606,-0.01306,0.02574,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,Control-NoCC,72,0.01191,-0.01045,0.03442,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,SSP1-2.6,72,0.01852,-0.00157,0.04078,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,SSP2-4.5,72,-0.00108,-0.02245,0.02012,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,SSP5-8.5,72,0.00416,-0.01898,0.0254,zero-crossing
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,Control-NoCC,72,0.00885,-0.00973,0.02808,zero-crossing
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,SSP1-2.6,72,0.0227,0.00252,0.04274,positive
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,SSP2-4.5,72,-0.00597,-0.0265,0.01364,zero-crossing
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,SSP5-8.5,72,-0.00275,-0.02366,0.01956,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,Control-NoCC,72,0.01863,-0.00264,0.03793,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,SSP1-2.6,72,0.00707,-0.01378,0.02625,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,SSP2-4.5,72,0.00569,-0.01275,0.02299,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,SSP5-8.5,72,-1e-05,-0.01816,0.01939,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,Control-NoCC,72,0.01353,-0.00747,0.03467,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,SSP1-2.6,72,0.01742,-0.0023,0.03869,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,SSP2-4.5,72,0.00202,-0.02005,0.02328,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,SSP5-8.5,72,0.00113,-0.01813,0.02035,zero-crossing
Algiers,Algeria,coastal,36.7372,3.0866,7.0,Control-NoCC,72,0.01649,-0.00343,0.03738,zero-crossing
Algiers,Algeria,coastal,36.7372,3.0866,7.0,SSP1-2.6,72,0.01367,-0.00856,0.03675,zero-crossing
Algiers,Algeria,coastal,36.7372,3.0866,7.0,SSP2-4.5,72,-0.00202,-0.02523,0.02087,zero-crossing
Algiers,Algeria,coastal,36.7372,3.0866,7.0,SSP5-8.5,72,0.00472,-0.01382,0.02429,zero-crossing
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,Control-NoCC,72,0.00423,-0.01472,0.02428,zero-crossing
