city,country,archetype,lat,lon,seed,ssp,epoch,mc,dGW,method,mean_dmg_final,mean_p_liq,mean_pga_g,gw_base_m,vs30_mu,n_nodes_graph
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,0,0.0,B0_static_hazus,0.2454501303840333,0.23918023610261957,0.21591998350350713,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,0,0.0,B4_cgstg_full,0.6291796023523292,0.2949912576295202,0.2065951365024212,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,1,0.0,B0_static_hazus,0.20344312108540794,0.21348602680600834,0.17840566282564196,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,1,0.0,B4_cgstg_full,0.5674277586825903,0.2317136278845414,0.19121357681289328,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,2,0.0,B0_static_hazus,0.22914792759398192,0.23883947194206723,0.18372176873935422,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,2,0.0,B4_cgstg_full,0.6338151225830082,0.2647370488748358,0.24749090258194234,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,3,0.0,B0_static_hazus,0.20677675170448725,0.20980491282564814,0.1779853104129894,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,3,0.0,B4_cgstg_full,0.5803141044671101,0.2426354946095744,0.19270723249655922,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,4,0.0,B0_static_hazus,0.26491096607519266,0.2682557286761431,0.20609825768399137,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,4,0.0,B4_cgstg_full,0.6204062292377289,0.2540688091957662,0.20647560273809687,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,5,0.0,B0_static_hazus,0.24497304907459902,0.2727332071941125,0.19676206821507988,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,5,0.0,B4_cgstg_full,0.499825513712576,0.2808859642705361,0.21325865731793273,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,6,0.0,B0_static_hazus,0.2546588892593943,0.2513136024437327,0.19780007682348438,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,6,0.0,B4_cgstg_full,0.6210368109332187,0.27230270060953893,0.21599103912296602,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,7,0.0,B0_static_hazus,0.24159369989344417,0.28209625792626114,0.20836410249053786,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,7,0.0,B4_cgstg_full,0.6031382827616566,0.267256697327069,0.21628906288970928,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,8,0.0,B0_static_hazus,0.1985723356153903,0.20196308518326625,0.18657849926087405,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,8,0.0,B4_cgstg_full,0.6660547169386709,0.24812599053365753,0.20968737973707002,2.385314436636477,222.77698334029455,120
Tianjin,China,deltaic,39.1421,117.1767,0,SSP5-8.5,2020,9,0.0,B0_static_hazus,0.28196370464753634,0.28821075468458535,0.22639101510144768,2.385314436636477,222.77698334029455,120
