city,country,archetype,lat,lon,gw_base_m,vs30_mu,n_pairs,mean_gap,ci_lo,ci_hi,sign
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,210.0,72,0.03466,0.0189,0.05077,positive
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,200.0,72,0.02506,0.00819,0.04156,positive
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,220.0,72,0.02488,0.01126,0.03903,positive
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,210.0,72,0.02485,0.00754,0.04307,positive
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,240.0,72,0.0244,0.00555,0.04286,positive
Tianjin,China,deltaic,39.1421,117.1767,2.5,220.0,72,0.02141,0.00544,0.0373,positive
Manila,Philippines,coastal,14.5995,120.9842,3.5,230.0,72,0.02074,0.00381,0.03709,positive
Shanghai,China,deltaic,31.2304,121.4737,2.5,230.0,72,0.02057,0.00494,0.0368,positive
Mumbai,India,coastal,19.076,72.8777,5.0,240.0,72,0.01192,-0.0069,0.03017,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,260.0,72,0.01004,-0.00788,0.02722,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,330.0,72,0.00968,-0.01161,0.02949,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,270.0,72,0.00934,-0.00847,0.0279,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,310.0,72,0.0078,-0.01039,0.02698,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,320.0,72,0.00618,-0.01443,0.02688,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,240.0,72,0.006,-0.01728,0.02866,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,340.0,72,0.00527,-0.01254,0.02586,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,220.0,72,0.00516,-0.01075,0.02173,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,270.0,72,0.00498,-0.0153,0.0257,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,320.0,72,0.0039,-0.01484,0.02347,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,250.0,72,0.00305,-0.01469,0.02148,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,310.0,72,0.00253,-0.01579,0.01902,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,350.0,72,0.00222,-0.01564,0.0197,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,360.0,72,0.00184,-0.01653,0.02116,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,350.0,72,0.00182,-0.02062,0.02313,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,270.0,72,0.00117,-0.01963,0.01995,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,310.0,72,0.00035,-0.0194,0.02235,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,280.0,72,-0.00021,-0.02241,0.01838,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,340.0,72,-0.00132,-0.0214,0.01828,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,380.0,72,-0.00379,-0.02452,0.01819,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,320.0,72,-0.01078,-0.03152,0.01117,zero-crossing
