model,held_out,epoch,train_rmse,test_rmse
gnn,1,16,0.05738,0.06288
gnn,1,17,0.05619,0.05787
gnn,1,18,0.05642,0.05598
gnn,1,19,0.05546,0.0568
gnn,1,20,0.05504,0.05766
gnn,1,21,0.05599,0.05589
gnn,1,22,0.05653,0.05339
gnn,1,23,0.05699,0.05509
gnn,1,24,0.05381,0.05564
gnn,1,25,0.05469,0.058
gnn,1,26,0.05613,0.07166
gnn,1,27,0.05395,0.0593
gnn,1,28,0.05587,0.06346
gnn,1,29,0.0549,0.06547
gnn,1,30,0.0568,0.05567
gnn,1,31,0.05593,0.05709
gnn,1,32,0.05528,0.05972
gnn,1,33,0.05478,0.05643
gnn,1,34,0.05554,0.06753
gnn,1,35,0.05438,0.05602
gnn,1,36,0.05547,0.05914
gnn,1,37,0.05759,0.05803
gnn,1,38,0.05338,0.05669
gnn,1,39,0.05293,0.05847
mlp,1,0,0.24803,0.0836
mlp,1,1,0.08556,0.07531
mlp,1,2,0.07922,0.09916
mlp,1,3,0.08096,0.07357
mlp,1,4,0.07871,0.07132
mlp,1,5,0.07414,0.06949
mlp,1,6,0.07357,0.06875
mlp,1,7,0.07174,0.07009
mlp,1,8,0.07632,0.07933
mlp,1,9,0.07071,0.07179
mlp,1,10,0.07055,0.06848
mlp,1,11,0.06776,0.06493
mlp,1,12,0.07007,0.06838
mlp,1,13,0.0687,0.07001
mlp,1,14,0.06673,0.06553
mlp,1,15,0.06718,0.07403
mlp,1,16,0.06591,0.06921
mlp,1,17,0.06668,0.07043
mlp,1,18,0.06602,0.06453
mlp,1,19,0.0659,0.06428
mlp,1,20,0.06451,0.07346
mlp,1,21,0.0662,0.0644
mlp,1,22,0.06585,0.06467
mlp,1,23,0.06404,0.06492
mlp,1,24,0.06313,0.06728
mlp,1,25,0.06552,0.06718
mlp,1,26,0.06431,0.08189
mlp,1,27,0.06433,0.06585
mlp,1,28,0.0652,0.07391
mlp,1,29,0.0627,0.06623
mlp,1,30,0.0643,0.06512
mlp,1,31,0.06573,0.06476
mlp,1,32,0.06266,0.06321
mlp,1,33,0.06248,0.06866
mlp,1,34,0.06547,0.06602
mlp,1,35,0.06139,0.06685
mlp,1,36,0.06259,0.06486
mlp,1,37,0.06357,0.06711
mlp,1,38,0.06194,0.06589
mlp,1,39,0.06236,0.06612
gnn,1,0,0.25381,0.09072
gnn,1,1,0.08706,0.0652
gnn,1,2,0.07407,0.06755
gnn,1,3,0.06556,0.06129
gnn,1,4,0.06223,0.06058
gnn,1,5,0.06365,0.06608
gnn,1,6,0.06056,0.05737
gnn,1,7,0.05796,0.05727
gnn,1,8,0.05959,0.079
gnn,1,9,0.06375,0.05922
gnn,1,10,0.05968,0.05356
gnn,1,11,0.05518,0.05517
gnn,1,12,0.05756,0.05494
gnn,1,13,0.06205,0.05859
gnn,1,14,0.05649,0.05442
gnn,1,15,0.0595,0.0566
gnn,1,16,0.05613,0.06189
gnn,1,17,0.06141,0.06147
gnn,1,18,0.05782,0.06399
gnn,1,19,0.05711,0.0622
gnn,1,20,0.05691,0.07353
gnn,1,21,0.05519,0.05649
gnn,1,22,0.05301,0.06452
gnn,1,23,0.05443,0.05657
gnn,1,24,0.05577,0.0563
gnn,1,25,0.05353,0.05728
gnn,1,26,0.05543,0.0629
gnn,1,27,0.0584,0.05413
gnn,1,28,0.0571,0.07234
gnn,1,29,0.05374,0.05993
gnn,1,30,0.05314,0.05754
gnn,1,31,0.05444,0.0642
gnn,1,32,0.05294,0.05827
gnn,1,33,0.05777,0.06674
gnn,1,34,0.05434,0.056
gnn,1,35,0.05278,0.05997
gnn,1,36,0.05427,0.05959
gnn,1,37,0.05309,0.0597
gnn,1,38,0.05594,0.05898
gnn,1,39,0.05217,0.05888
mlp,1,0,0.23661,0.08796
mlp,1,1,0.08459,0.07271
mlp,1,2,0.0769,0.07175
mlp,1,3,0.07339,0.06817
mlp,1,4,0.07247,0.06449
mlp,1,5,0.06927,0.07101
mlp,1,6,0.07023,0.08466
mlp,1,7,0.06626,0.06158
mlp,1,8,0.06596,0.077
mlp,1,9,0.06741,0.06313
mlp,1,10,0.06867,0.06457
mlp,1,11,0.06455,0.06146
mlp,1,12,0.06449,0.0602
mlp,1,13,0.06856,0.06619
mlp,1,14,0.06494,0.0636
mlp,1,15,0.06571,0.06272
mlp,1,16,0.06479,0.06605
mlp,1,17,0.06505,0.06156
mlp,1,18,0.06436,0.06624
mlp,1,19,0.0648,0.06441
mlp,1,20,0.06472,0.08103
mlp,1,21,0.06308,0.0642
mlp,1,22,0.06266,0.06928
mlp,1,23,0.06433,0.06286
mlp,1,24,0.06414,0.06271
mlp,1,25,0.06156,0.06512
mlp,1,26,0.06335,0.06248
mlp,1,27,0.06556,0.06088
mlp,1,28,0.06442,0.07782
mlp,1,29,0.0626,0.06433
mlp,1,30,0.06188,0.06453
mlp,1,31,0.06156,0.07488
mlp,1,32,0.06177,0.06575
mlp,1,33,0.06252,0.06702
mlp,1,34,0.06268,0.06364
mlp,1,35,0.06099,0.07321
mlp,1,36,0.06226,0.06639
mlp,1,37,0.0601,0.07235
mlp,1,38,0.06376,0.06251
mlp,1,39,0.06202,0.06308
gnn,2,0,0.26146,0.10913
gnn,2,1,0.08933,0.07316
gnn,2,2,0.06856,0.08818
gnn,2,3,0.06967,0.06262
gnn,2,4,0.06395,0.06243
gnn,2,5,0.0604,0.05967
gnn,2,6,0.0604,0.05693
gnn,2,7,0.05921,0.05926
gnn,2,8,0.0638,0.06308
gnn,2,9,0.06006,0.05843
gnn,2,10,0.05747,0.05681
gnn,2,11,0.0586,0.05524
gnn,2,12,0.06268,0.06099
gnn,2,13,0.05726,0.05858
gnn,2,14,0.05617,0.05557
gnn,2,15,0.05811,0.05979
gnn,2,16,0.05632,0.06313
gnn,2,17,0.05575,0.05571
gnn,2,18,0.05644,0.05516
gnn,2,19,0.05497,0.05659
gnn,2,20,0.05441,0.05482
gnn,2,21,0.05606,0.05577
gnn,2,22,0.05588,0.05598
gnn,2,23,0.05904,0.05395
gnn,2,24,0.05409,0.06199
gnn,2,25,0.05724,0.05868
gnn,2,26,0.05558,0.0744
gnn,2,27,0.05553,0.06019
gnn,2,28,0.05606,0.07095
gnn,2,29,0.05405,0.0587
gnn,2,30,0.05408,0.05561
gnn,2,31,0.05735,0.06012
gnn,2,32,0.05751,0.06484
gnn,2,33,0.0541,0.05531
gnn,2,34,0.05424,0.05944
gnn,2,35,0.05407,0.0575
gnn,2,36,0.057,0.06403
gnn,2,37,0.05578,0.05703
gnn,2,38,0.05332,0.05721
gnn,2,39,0.05382,0.05944
mlp,2,0,0.24443,0.09034
mlp,2,1,0.08398,0.08352
mlp,2,2,0.07926,0.10547
mlp,2,3,0.07927,0.0807
mlp,2,4,0.07869,0.07787
mlp,2,5,0.07317,0.07678
mlp,2,6,0.07225,0.07585
mlp,2,7,0.06993,0.07493
mlp,2,8,0.0774,0.07491
mlp,2,9,0.06927,0.07304
mlp,2,10,0.06735,0.07156
mlp,2,11,0.06729,0.07046
mlp,2,12,0.0696,0.0759
mlp,2,13,0.06592,0.07722
mlp,2,14,0.06536,0.07685
mlp,2,15,0.06715,0.07495
mlp,2,16,0.06454,0.07987
mlp,2,17,0.06395,0.07077
