model,held_out,epoch,train_rmse,test_rmse
mlp,4,11,0.06545,0.06285
mlp,4,12,0.06461,0.06579
mlp,4,13,0.06902,0.06455
mlp,4,14,0.06419,0.07082
mlp,4,15,0.06663,0.05871
mlp,4,16,0.065,0.0595
mlp,4,17,0.06468,0.06383
mlp,4,18,0.06649,0.06203
mlp,4,19,0.06679,0.05915
mlp,4,20,0.06502,0.06767
mlp,4,21,0.06456,0.06028
mlp,4,22,0.06347,0.07295
mlp,4,23,0.06567,0.06527
mlp,4,24,0.06468,0.06064
mlp,4,25,0.0623,0.06015
mlp,4,26,0.06244,0.06288
mlp,4,27,0.06361,0.06062
mlp,4,28,0.06744,0.06036
mlp,4,29,0.06339,0.06414
mlp,4,30,0.06238,0.06284
mlp,4,31,0.06379,0.06167
mlp,4,32,0.06317,0.05914
mlp,4,33,0.06357,0.07491
mlp,4,34,0.0641,0.06316
mlp,4,35,0.06222,0.06059
mlp,4,36,0.06214,0.06505
mlp,4,37,0.06328,0.06016
mlp,4,38,0.06518,0.06262
mlp,4,39,0.0624,0.06508
gnn,5,0,0.24331,0.10011
gnn,5,1,0.08323,0.07395
gnn,5,2,0.07172,0.10839
gnn,5,3,0.0706,0.06609
gnn,5,4,0.06285,0.05492
gnn,5,5,0.06223,0.05692
gnn,5,6,0.05946,0.06322
gnn,5,7,0.0592,0.06196
gnn,5,8,0.06207,0.07006
gnn,5,9,0.0571,0.08892
gnn,5,10,0.06048,0.07265
gnn,5,11,0.06103,0.06515
gnn,5,12,0.0559,0.06292
gnn,5,13,0.06023,0.07098
gnn,5,14,0.05736,0.06463
gnn,5,15,0.05619,0.0739
gnn,5,16,0.05648,0.07882
gnn,5,17,0.05519,0.0682
gnn,5,18,0.05833,0.07618
gnn,5,19,0.05529,0.08303
gnn,5,20,0.05591,0.06734
gnn,5,21,0.05629,0.07139
gnn,5,22,0.05784,0.09092
gnn,5,23,0.05699,0.06576
gnn,5,24,0.05522,0.06037
gnn,5,25,0.05851,0.07691
gnn,5,26,0.05401,0.08361
gnn,5,27,0.05429,0.07554
gnn,5,28,0.05641,0.06224
gnn,5,29,0.05402,0.08131
gnn,5,30,0.05445,0.07344
gnn,5,31,0.05604,0.06091
gnn,5,32,0.0551,0.06328
gnn,5,33,0.0543,0.05725
gnn,5,34,0.05299,0.076
gnn,5,35,0.05425,0.06385
gnn,5,36,0.05356,0.07159
gnn,5,37,0.05279,0.06603
gnn,5,38,0.05662,0.07742
gnn,5,39,0.05256,0.06031
mlp,5,0,0.22786,0.07639
mlp,5,1,0.08504,0.08726
mlp,5,2,0.08253,0.12049
mlp,5,3,0.08028,0.08551
mlp,5,4,0.07557,0.07572
mlp,5,5,0.0747,0.0678
mlp,5,6,0.07279,0.0715
mlp,5,7,0.07261,0.06718
mlp,5,8,0.07157,0.06605
mlp,5,9,0.06686,0.07867
mlp,5,10,0.06769,0.07357
mlp,5,11,0.06738,0.05895
mlp,5,12,0.06546,0.06688
mlp,5,13,0.06968,0.07477
mlp,5,14,0.06514,0.07206
mlp,5,15,0.06652,0.07269
mlp,5,16,0.06389,0.07059
mlp,5,17,0.06393,0.06454
mlp,5,18,0.06652,0.0607
mlp,5,19,0.06477,0.08439
mlp,5,20,0.06569,0.07189
mlp,5,21,0.06866,0.05707
mlp,5,22,0.06624,0.08215
mlp,5,23,0.06494,0.06871
mlp,5,24,0.06567,0.05961
mlp,5,25,0.06322,0.07238
mlp,5,26,0.06321,0.0783
mlp,5,27,0.06401,0.06944
mlp,5,28,0.06405,0.06307
mlp,5,29,0.06307,0.0821
mlp,5,30,0.06321,0.07153
mlp,5,31,0.06345,0.07047
mlp,5,32,0.06394,0.06153
mlp,5,33,0.06452,0.06409
mlp,5,34,0.06337,0.08274
mlp,5,35,0.06237,0.0707
mlp,5,36,0.06284,0.06394
mlp,5,37,0.06277,0.07491
mlp,5,38,0.06488,0.08708
mlp,5,39,0.06187,0.06591
gnn,5,0,0.2535,0.08828
gnn,5,1,0.08517,0.07679
gnn,5,2,0.07157,0.08751
gnn,5,3,0.06829,0.07282
gnn,5,4,0.06102,0.06707
gnn,5,5,0.06677,0.06344
gnn,5,6,0.0629,0.07104
gnn,5,7,0.05888,0.08883
gnn,5,8,0.05871,0.0926
gnn,5,9,0.06558,0.06165
gnn,5,10,0.05958,0.07778
gnn,5,11,0.05734,0.06584
gnn,5,12,0.05967,0.05654
gnn,5,13,0.05872,0.07489
gnn,5,14,0.06165,0.05583
gnn,5,15,0.05696,0.08187
gnn,5,16,0.05576,0.06212
gnn,5,17,0.06412,0.09678
gnn,5,18,0.06146,0.10068
gnn,5,19,0.05912,0.07488
gnn,5,20,0.05932,0.10207
gnn,5,21,0.06178,0.0694
gnn,5,22,0.05707,0.05722
gnn,5,23,0.05594,0.07668
gnn,5,24,0.0557,0.06242
gnn,5,25,0.05408,0.06626
gnn,5,26,0.05533,0.07585
gnn,5,27,0.05573,0.06402
gnn,5,28,0.05781,0.10657
gnn,5,29,0.05439,0.08027
gnn,5,30,0.05627,0.06567
gnn,5,31,0.05451,0.09001
gnn,5,32,0.05639,0.07451
gnn,5,33,0.05857,0.06437
gnn,5,34,0.05599,0.06197
gnn,5,35,0.05389,0.09731
gnn,5,36,0.05497,0.07664
gnn,5,37,0.05529,0.07935
gnn,5,38,0.05837,0.08982
gnn,5,39,0.05697,0.06753
mlp,5,0,0.21897,0.07848
mlp,5,1,0.08193,0.09737
mlp,5,2,0.08245,0.07827
mlp,5,3,0.0768,0.0803
mlp,5,4,0.07223,0.07801
mlp,5,5,0.07054,0.08601
mlp,5,6,0.0701,0.08529
mlp,5,7,0.06613,0.10583
mlp,5,8,0.06899,0.10739
mlp,5,9,0.07234,0.06051
mlp,5,10,0.06751,0.08593
mlp,5,11,0.06457,0.08462
mlp,5,12,0.06536,0.0725
mlp,5,13,0.06697,0.07269
mlp,5,14,0.06466,0.0651
mlp,5,15,0.06689,0.09427
mlp,5,16,0.06492,0.09089
mlp,5,17,0.07052,0.08135
mlp,5,18,0.06522,0.10022
mlp,5,19,0.06576,0.08538
mlp,5,20,0.06564,0.08229
mlp,5,21,0.0647,0.07795
mlp,5,22,0.0648,0.06919
mlp,5,23,0.06443,0.07021
mlp,5,24,0.06478,0.0664
mlp,5,25,0.06265,0.07058
mlp,5,26,0.06312,0.10822
mlp,5,27,0.06431,0.0755
mlp,5,28,0.06496,0.09309
mlp,5,29,0.06532,0.09286
mlp,5,30,0.06424,0.06245
mlp,5,31,0.06342,0.10315
mlp,5,32,0.06611,0.09615
mlp,5,33,0.06426,0.07319
mlp,5,34,0.06331,0.07572
mlp,5,35,0.06252,0.12531
mlp,5,36,0.06464,0.09379
mlp,5,37,0.06284,0.09405
mlp,5,38,0.06636,0.05879
mlp,5,39,0.06246,0.06955
gnn,6,0,0.24992,0.10565
gnn,6,1,0.08322,0.07913
gnn,6,2,0.07399,0.08082
gnn,6,3,0.06279,0.06789
gnn,6,4,0.06685,0.06431
gnn,6,5,0.05815,0.06067
gnn,6,6,0.06033,0.06585
gnn,6,7,0.05981,0.06199
gnn,6,8,0.06026,0.06715
gnn,6,9,0.05638,0.05903
gnn,6,10,0.05595,0.06628
gnn,6,11,0.06221,0.06156
gnn,6,12,0.0549,0.06503
gnn,6,13,0.05553,0.06179
gnn,6,14,0.05802,0.05773
gnn,6,15,0.05887,0.09274
gnn,6,16,0.05845,0.06112
gnn,6,17,0.05552,0.05824
gnn,6,18,0.05481,0.0598
gnn,6,19,0.05443,0.07578
gnn,6,20,0.05578,0.05987
gnn,6,21,0.0564,0.05819
gnn,6,22,0.05698,0.06076
gnn,6,23,0.057,0.06327
gnn,6,24,0.05511,0.06578
gnn,6,25,0.05744,0.06117
gnn,6,26,0.05353,0.05963
gnn,6,27,0.05327,0.06085
gnn,6,28,0.05445,0.07128
gnn,6,29,0.05311,0.05939
gnn,6,30,0.05491,0.06047
gnn,6,31,0.05451,0.06303
gnn,6,32,0.0554,0.06019
gnn,6,33,0.05258,0.06283
gnn,6,34,0.05192,0.0592
gnn,6,35,0.05297,0.06056
gnn,6,36,0.05413,0.06184
gnn,6,37,0.05398,0.0599
gnn,6,38,0.05508,0.05876
gnn,6,39,0.05186,0.06362
mlp,6,0,0.23662,0.0957
mlp,6,1,0.08322,0.08627
mlp,6,2,0.08225,0.08532
mlp,6,3,0.07403,0.08223
mlp,6,4,0.07288,0.08675
mlp,6,5,0.07006,0.07613
mlp,6,6,0.06997,0.085
mlp,6,7,0.07014,0.07459
mlp,6,8,0.06903,0.07688
mlp,6,9,0.06375,0.07265
mlp,6,10,0.063,0.07176
mlp,6,11,0.06504,0.07192
mlp,6,12,0.06337,0.08467
mlp,6,13,0.06357,0.07191
mlp,6,14,0.06594,0.07149
mlp,6,15,0.0651,0.08104
mlp,6,16,0.06341,0.07015
mlp,6,17,0.06267,0.07183
mlp,6,18,0.06289,0.07126
mlp,6,19,0.06221,0.07631
mlp,6,20,0.06454,0.07427
mlp,6,21,0.06459,0.08176
mlp,6,22,0.06562,0.07126
mlp,6,23,0.06276,0.07057
mlp,6,24,0.06421,0.0726
mlp,6,25,0.06173,0.06897
mlp,6,26,0.06138,0.07045
mlp,6,27,0.06103,0.07088
mlp,6,28,0.06046,0.07766
mlp,6,29,0.06108,0.07123
mlp,6,30,0.0621,0.07017
mlp,6,31,0.06169,0.07191
mlp,6,32,0.06172,0.07154
mlp,6,33,0.06142,0.0774
mlp,6,34,0.06135,0.07083
mlp,6,35,0.06133,0.06933
mlp,6,36,0.06084,0.06996
mlp,6,37,0.06195,0.06939
mlp,6,38,0.06197,0.07073
mlp,6,39,0.06017,0.0703
gnn,6,0,0.2585,0.10923
gnn,6,1,0.08479,0.08753
gnn,6,2,0.07232,0.06776
gnn,6,3,0.06768,0.0671
gnn,6,4,0.06127,0.06041
gnn,6,5,0.06006,0.06529
gnn,6,6,0.06081,0.0608
gnn,6,7,0.05785,0.05906
gnn,6,8,0.05594,0.07476
gnn,6,9,0.06873,0.06721
gnn,6,10,0.05728,0.0601
gnn,6,11,0.05573,0.06161
gnn,6,12,0.05656,0.05807
gnn,6,13,0.05691,0.0608
gnn,6,14,0.0578,0.06795
gnn,6,15,0.05739,0.05916
gnn,6,16,0.05462,0.06075
gnn,6,17,0.05718,0.06414
gnn,6,18,0.05631,0.06501
gnn,6,19,0.05541,0.05786
gnn,6,20,0.05707,0.06931
gnn,6,21,0.06032,0.05825
gnn,6,22,0.05386,0.06133
gnn,6,23,0.05615,0.05911
gnn,6,24,0.05437,0.06382
gnn,6,25,0.05385,0.06332
gnn,6,26,0.0557,0.05906
gnn,6,27,0.05394,0.0582
gnn,6,28,0.05763,0.05991
gnn,6,29,0.05175,0.05814
gnn,6,30,0.05457,0.06287
gnn,6,31,0.05331,0.05896
gnn,6,32,0.05349,0.057
gnn,6,33,0.05454,0.0603
gnn,6,34,0.0525,0.05915
gnn,6,35,0.05298,0.05672
gnn,6,36,0.05406,0.05786
gnn,6,37,0.05386,0.06003
gnn,6,38,0.05387,0.06552
gnn,6,39,0.05394,0.05785
mlp,6,0,0.22723,0.09573
mlp,6,1,0.08366,0.10543
mlp,6,2,0.08135,0.08081
mlp,6,3,0.07871,0.08391
mlp,6,4,0.0724,0.07877
mlp,6,5,0.07067,0.07457
mlp,6,6,0.06778,0.07256
mlp,6,7,0.06727,0.07512
mlp,6,8,0.06619,0.07331
mlp,6,9,0.07105,0.07451
mlp,6,10,0.06605,0.07186
mlp,6,11,0.06349,0.07302
mlp,6,12,0.06357,0.06997
mlp,6,13,0.06504,0.07591
mlp,6,14,0.06448,0.08191
mlp,6,15,0.06374,0.06969
mlp,6,16,0.06413,0.07325
mlp,6,17,0.06504,0.07302
mlp,6,18,0.06317,0.07486
mlp,6,19,0.06462,0.07055
mlp,6,20,0.06456,0.07067
mlp,6,21,0.06303,0.07038
mlp,6,22,0.06093,0.07581
mlp,6,23,0.06344,0.07601
mlp,6,24,0.06297,0.07533
mlp,6,25,0.06262,0.07638
mlp,6,26,0.06268,0.07067
mlp,6,27,0.06155,0.07017
mlp,6,28,0.0635,0.07411
mlp,6,29,0.06065,0.07075
mlp,6,30,0.06392,0.07479
mlp,6,31,0.06194,0.07334
mlp,6,32,0.06147,0.06955
mlp,6,33,0.06277,0.07119
mlp,6,34,0.06137,0.07317
mlp,6,35,0.06152,0.06873
mlp,6,36,0.06261,0.07157
mlp,6,37,0.06189,0.07244
mlp,6,38,0.06282,0.06967
mlp,6,39,0.0606,0.07101
gnn,7,0,0.2491,0.1043
gnn,7,1,0.08116,0.06695
gnn,7,2,0.07424,0.07183
gnn,7,3,0.06662,0.06254
gnn,7,4,0.06837,0.05456
gnn,7,5,0.05942,0.05192
gnn,7,6,0.06034,0.05079
gnn,7,7,0.06265,0.04982
gnn,7,8,0.06109,0.05067
gnn,7,9,0.05776,0.04967
gnn,7,10,0.05803,0.05205
gnn,7,11,0.06287,0.04847
gnn,7,12,0.05546,0.04723
gnn,7,13,0.05543,0.05241
gnn,7,14,0.05882,0.04781
gnn,7,15,0.06014,0.07999
gnn,7,16,0.0587,0.05002
gnn,7,17,0.05703,0.04643
gnn,7,18,0.05824,0.04833
gnn,7,19,0.05575,0.05882
gnn,7,20,0.05674,0.04573
gnn,7,21,0.05729,0.04914
gnn,7,22,0.05781,0.05892
gnn,7,23,0.05594,0.04842
gnn,7,24,0.05626,0.04908
gnn,7,25,0.05962,0.0596
gnn,7,26,0.05568,0.05049
gnn,7,27,0.0541,0.05057
gnn,7,28,0.05916,0.05247
gnn,7,29,0.05588,0.05172
gnn,7,30,0.05781,0.05192
gnn,7,31,0.05532,0.04933
gnn,7,32,0.05439,0.04307
gnn,7,33,0.05395,0.04345
gnn,7,34,0.05379,0.04725
gnn,7,35,0.05493,0.04508
gnn,7,36,0.05657,0.05088
gnn,7,37,0.0555,0.04493
gnn,7,38,0.05652,0.04379
gnn,7,39,0.05357,0.04405
mlp,7,0,0.23517,0.08956
mlp,7,1,0.08454,0.07029
mlp,7,2,0.08304,0.07279
mlp,7,3,0.07677,0.06996
mlp,7,4,0.07474,0.06767
mlp,7,5,0.07098,0.05654
mlp,7,6,0.07035,0.06212
mlp,7,7,0.07235,0.05547
mlp,7,8,0.07202,0.05226
mlp,7,9,0.06586,0.05459
mlp,7,10,0.06695,0.06272
mlp,7,11,0.06777,0.05045
mlp,7,12,0.06473,0.06126
mlp,7,13,0.06719,0.05847
mlp,7,14,0.06713,0.05881
mlp,7,15,0.0679,0.05529
mlp,7,16,0.06708,0.06168
mlp,7,17,0.0661,0.05213
mlp,7,18,0.06781,0.05223
mlp,7,19,0.0647,0.07076
mlp,7,20,0.06596,0.04992
mlp,7,21,0.06658,0.04921
mlp,7,22,0.06738,0.05007
mlp,7,23,0.06577,0.04915
mlp,7,24,0.06581,0.04761
mlp,7,25,0.06552,0.05346
mlp,7,26,0.06447,0.05184
mlp,7,27,0.06385,0.05784
mlp,7,28,0.06482,0.04858
mlp,7,29,0.06412,0.05178
mlp,7,30,0.06605,0.04984
mlp,7,31,0.06414,0.0493
mlp,7,32,0.06295,0.04745
mlp,7,33,0.06381,0.04823
mlp,7,34,0.06337,0.05356
mlp,7,35,0.06392,0.0488
mlp,7,36,0.06448,0.05287
mlp,7,37,0.06463,0.05241
mlp,7,38,0.06462,0.05393
mlp,7,39,0.06455,0.04922
gnn,7,0,0.2649,0.12633
gnn,7,1,0.09009,0.07484
gnn,7,2,0.07152,0.0627
gnn,7,3,0.06687,0.05504
gnn,7,4,0.0616,0.05919
gnn,7,5,0.06308,0.05851
gnn,7,6,0.06328,0.05069
gnn,7,7,0.06105,0.0498
gnn,7,8,0.06007,0.06711
gnn,7,9,0.06255,0.05152
gnn,7,10,0.05699,0.04614
gnn,7,11,0.06008,0.04884
gnn,7,12,0.05636,0.04574
gnn,7,13,0.05632,0.04562
gnn,7,14,0.05634,0.04607
gnn,7,15,0.05782,0.05354
gnn,7,16,0.05736,0.05494
gnn,7,17,0.06006,0.05872
gnn,7,18,0.05742,0.05937
gnn,7,19,0.05678,0.04868
gnn,7,20,0.05909,0.05473
gnn,7,21,0.05884,0.05362
gnn,7,22,0.05699,0.04582
gnn,7,23,0.05606,0.04985
gnn,7,24,0.05657,0.04542
gnn,7,25,0.05563,0.04796
gnn,7,26,0.05591,0.05158
gnn,7,27,0.05594,0.0479
gnn,7,28,0.05853,0.04687
gnn,7,29,0.0546,0.06121
gnn,7,30,0.05636,0.04664
gnn,7,31,0.05576,0.05219
gnn,7,32,0.05571,0.04466
gnn,7,33,0.05459,0.04346
gnn,7,34,0.0548,0.04365
gnn,7,35,0.05301,0.04648
gnn,7,36,0.05679,0.04476
gnn,7,37,0.05346,0.05372
gnn,7,38,0.05408,0.05922
gnn,7,39,0.05466,0.04629
mlp,7,0,0.2295,0.08112
mlp,7,1,0.08435,0.08346
mlp,7,2,0.08088,0.07594
mlp,7,3,0.07647,0.05751
mlp,7,4,0.07047,0.07162
mlp,7,5,0.0715,0.05282
mlp,7,6,0.07025,0.05365
mlp,7,7,0.06945,0.05296
mlp,7,8,0.06897,0.06037
mlp,7,9,0.07153,0.05414
mlp,7,10,0.06765,0.05069
mlp,7,11,0.06788,0.0498
mlp,7,12,0.06552,0.05357
mlp,7,13,0.066,0.05502
mlp,7,14,0.06624,0.0543
mlp,7,15,0.06661,0.05178
mlp,7,16,0.06788,0.05615
mlp,7,17,0.06858,0.06162
mlp,7,18,0.06586,0.06309
mlp,7,19,0.06642,0.05217
mlp,7,20,0.06662,0.05359
mlp,7,21,0.06559,0.06209
mlp,7,22,0.06672,0.04932
mlp,7,23,0.06498,0.04956
mlp,7,24,0.06606,0.04933
mlp,7,25,0.0661,0.05023
mlp,7,26,0.06482,0.05206
mlp,7,27,0.06371,0.05459
mlp,7,28,0.06545,0.05135
mlp,7,29,0.06319,0.0612
mlp,7,30,0.06683,0.05013
mlp,7,31,0.06494,0.05463
mlp,7,32,0.06382,0.05303
mlp,7,33,0.06432,0.05184
mlp,7,34,0.06352,0.05313
mlp,7,35,0.06416,0.04927
mlp,7,36,0.06559,0.05383
mlp,7,37,0.06387,0.05786
mlp,7,38,0.06362,0.055
mlp,7,39,0.06281,0.04901
