method,ssp,epoch,n,mean_dmg_final,std_dmg_final,bca_ci_lo,bca_ci_hi,wilcoxon_vs_B0_z,wilcoxon_vs_B0_p
A2_cgstg_no_cascade,SSP2-4.5,2100,1600,0.203273,0.037332,0.201454,0.205139,,
A2_cgstg_no_cascade,SSP5-8.5,2020,1600,0.202993,0.036389,0.20122,0.204796,,
A2_cgstg_no_cascade,SSP5-8.5,2050,1600,0.203588,0.038039,0.201846,0.205509,,
A2_cgstg_no_cascade,SSP5-8.5,2100,1600,0.204161,0.0389,0.202257,0.20608,,
A2_cgstg_no_cascade,Control-NoCC,2020,1600,0.202038,0.035737,0.200287,0.203757,,
A2_cgstg_no_cascade,Control-NoCC,2050,1600,0.203439,0.036719,0.201638,0.205312,,
A2_cgstg_no_cascade,Control-NoCC,2100,1600,0.202232,0.035625,0.200482,0.204037,,
A3_cgstg_no_climate,SSP2-4.5,2020,1600,0.289115,0.050103,0.286694,0.291644,,
A3_cgstg_no_climate,SSP2-4.5,2050,1600,0.289536,0.051881,0.287001,0.292088,,
A3_cgstg_no_climate,SSP2-4.5,2100,1600,0.289134,0.052408,0.286605,0.291661,,
A3_cgstg_no_climate,SSP5-8.5,2020,1600,0.287648,0.050868,0.285174,0.290132,,
A3_cgstg_no_climate,SSP5-8.5,2050,1600,0.288524,0.051788,0.286013,0.291078,,
A3_cgstg_no_climate,SSP5-8.5,2100,1600,0.289855,0.051251,0.287389,0.292307,,
A3_cgstg_no_climate,Control-NoCC,2020,1600,0.286754,0.051995,0.284328,0.289375,,
A3_cgstg_no_climate,Control-NoCC,2050,1600,0.288596,0.051392,0.286109,0.291124,,
A3_cgstg_no_climate,Control-NoCC,2100,1600,0.28974,0.051505,0.287277,0.292364,,
A4_cgstg_low_kappa,SSP2-4.5,2020,1600,0.244309,0.043082,0.242188,0.246408,,
A4_cgstg_low_kappa,SSP2-4.5,2050,1600,0.246565,0.044172,0.244441,0.248719,,
A4_cgstg_low_kappa,SSP2-4.5,2100,1600,0.247244,0.04545,0.245081,0.249515,,
A4_cgstg_low_kappa,SSP5-8.5,2020,1600,0.24358,0.044533,0.241459,0.245698,,
A4_cgstg_low_kappa,SSP5-8.5,2050,1600,0.246225,0.044271,0.244069,0.248395,,
A4_cgstg_low_kappa,SSP5-8.5,2100,1600,0.248435,0.048195,0.246079,0.250889,,
A4_cgstg_low_kappa,Control-NoCC,2020,1600,0.244861,0.043927,0.242756,0.247072,,
A4_cgstg_low_kappa,Control-NoCC,2050,1600,0.244651,0.043186,0.242563,0.24671,,
A4_cgstg_low_kappa,Control-NoCC,2100,1600,0.244128,0.043964,0.241996,0.246347,,
A5_cgstg_high_kappa,SSP2-4.5,2020,1600,0.382727,0.064565,0.379676,0.385913,,
A5_cgstg_high_kappa,SSP2-4.5,2050,1600,0.385177,0.064707,0.382126,0.388452,,
A5_cgstg_high_kappa,SSP2-4.5,2100,1600,0.384739,0.06734,0.381542,0.388081,,
A5_cgstg_high_kappa,SSP5-8.5,2020,1600,0.382369,0.066131,0.379251,0.385707,,
A5_cgstg_high_kappa,SSP5-8.5,2050,1600,0.385518,0.065507,0.382529,0.388781,,
A5_cgstg_high_kappa,SSP5-8.5,2100,1600,0.388677,0.070311,0.385196,0.392038,,
A5_cgstg_high_kappa,Control-NoCC,2020,1600,0.380941,0.062314,0.378028,0.383997,,
A5_cgstg_high_kappa,Control-NoCC,2050,1600,0.382682,0.063934,0.379542,0.385868,,
A5_cgstg_high_kappa,Control-NoCC,2100,1600,0.38279,0.064109,0.37964,0.38601,,
