ssp,n_cities,mean_gap_across_cohort,median_gap,p10_gap,p90_gap,max_gap_city,max_gap_value,n_strictly_positive_CI,n_zero_crossing
Control-NoCC,50,0.0069,0.00759,-0.00137,0.01559,Seattle,0.02444,0,50
SSP1-2.6,50,-0.01213,-0.01196,-0.02179,-0.00052,NewOrleans,0.0098,0,49
SSP2-4.5,50,-0.00079,-0.00034,-0.00975,0.00752,Bogota,0.01405,0,50
SSP5-8.5,50,0.00216,0.00127,-0.01028,0.01792,Shanghai,0.02652,0,50
