rank_under_SSP5-8.5,city,country,archetype,lat,lon,gw_base_m,gap_Control-NoCC,gap_Control-NoCC_ci_lo,gap_Control-NoCC_ci_hi,sign_Control-NoCC,gap_SSP1-2.6,gap_SSP1-2.6_ci_lo,gap_SSP1-2.6_ci_hi,sign_SSP1-2.6,gap_SSP2-4.5,gap_SSP2-4.5_ci_lo,gap_SSP2-4.5_ci_hi,sign_SSP2-4.5,gap_SSP5-8.5,gap_SSP5-8.5_ci_lo,gap_SSP5-8.5_ci_hi,sign_SSP5-8.5
1,Shanghai,China,deltaic,31.2304,121.4737,2.5,0.00542,-0.01894,0.02871,zero-crossing,-0.01291,-0.03775,0.01366,zero-crossing,0.00402,-0.02823,0.03615,zero-crossing,0.02652,-0.00198,0.05639,zero-crossing
2,NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,0.0044,-0.02639,0.03686,zero-crossing,0.0098,-0.01821,0.0418,zero-crossing,0.00634,-0.02005,0.03033,zero-crossing,0.02433,-0.00046,0.04549,zero-crossing
3,Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,-0.01499,-0.04277,0.01616,zero-crossing,-0.01163,-0.03304,0.01477,zero-crossing,0.00966,-0.01664,0.03328,zero-crossing,0.02234,-0.01203,0.05214,zero-crossing
4,Guangzhou,China,deltaic,23.1291,113.2644,2.5,0.01358,-0.01264,0.04276,zero-crossing,-0.0063,-0.03436,0.02251,zero-crossing,-0.01497,-0.04085,0.01322,zero-crossing,0.01946,-0.0077,0.04266,zero-crossing
5,Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,0.00418,-0.01751,0.02551,zero-crossing,-0.0045,-0.03329,0.01963,zero-crossing,0.00237,-0.02342,0.02864,zero-crossing,0.01918,-0.00901,0.04587,zero-crossing
6,Tianjin,China,deltaic,39.1421,117.1767,2.5,0.001,-0.0245,0.0246,zero-crossing,-0.00057,-0.02498,0.0233,zero-crossing,0.0003,-0.02634,0.02889,zero-crossing,0.01778,-0.01297,0.04291,zero-crossing
7,Bangkok,Thailand,coastal,13.7563,100.5018,3.5,0.00567,-0.01884,0.0347,zero-crossing,-0.00847,-0.03988,0.0212,zero-crossing,0.00126,-0.03122,0.03183,zero-crossing,0.01638,-0.01522,0.04727,zero-crossing
8,HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,0.00289,-0.023,0.03168,zero-crossing,-0.01429,-0.04354,0.01144,zero-crossing,-0.00018,-0.03526,0.03206,zero-crossing,0.0161,-0.01503,0.04581,zero-crossing
9,Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,0.00876,-0.0152,0.03552,zero-crossing,-0.00775,-0.03466,0.01869,zero-crossing,0.00228,-0.03405,0.0363,zero-crossing,0.01596,-0.01794,0.04899,zero-crossing
10,BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,0.01693,-0.00991,0.0441,zero-crossing,-0.01477,-0.04725,0.01328,zero-crossing,0.00906,-0.025,0.04026,zero-crossing,0.01305,-0.0203,0.04039,zero-crossing
