ssp,n_cities,pearson_r,pearson_p,spearman_r,spearman_p,linear_R2,slope,intercept
Control-NoCC,50,-0.3517,0.012271,-0.2856,0.044383,0.1237,-0.01812,0.01065
SSP1-2.6,50,0.4077,0.003292,0.4705,0.000565,0.1663,0.02495,-0.01729
SSP2-4.5,50,0.2791,0.04966,0.2957,0.037099,0.0779,0.01312,-0.00351
SSP5-8.5,50,0.7358,0.0,0.61,3e-06,0.5414,0.05572,-0.00937
