arch_amp,dGW_2100_mean,n_seeds,mean_gap_2100_minus_2020,std_gap,bca_ci_lo,bca_ci_hi,sign
0.5,-1.0,30,0.00271,0.0131,-0.00177,0.00758,zero-crossing
0.5,-0.5,30,0.00194,0.00942,-0.00145,0.00542,zero-crossing
0.5,0.0,30,-0.00551,0.01521,-0.01117,-0.00024,negative
0.5,0.5,30,-0.00833,0.01796,-0.01463,-0.0018,negative
0.5,1.0,30,-0.0008,0.01455,-0.00542,0.00465,zero-crossing
0.75,-1.0,30,-0.00052,0.01546,-0.00623,0.00473,zero-crossing
0.75,-0.5,30,-0.00615,0.01796,-0.01301,-0.00032,negative
0.75,0.0,30,0.00093,0.01529,-0.00406,0.00665,zero-crossing
0.75,0.5,30,0.00185,0.01383,-0.00289,0.00686,zero-crossing
0.75,1.0,30,-0.00474,0.01583,-0.01002,0.00081,zero-crossing
0.95,-1.0,30,-0.00129,0.01499,-0.00677,0.00344,zero-crossing
0.95,-0.5,30,-0.00127,0.01477,-0.00618,0.00411,zero-crossing
0.95,0.0,30,0.00168,0.01508,-0.00389,0.00704,zero-crossing
0.95,0.5,30,0.00186,0.015,-0.00322,0.00717,zero-crossing
0.95,1.0,30,-0.0026,0.01206,-0.00682,0.00152,zero-crossing
1.1,-1.0,30,-0.00149,0.01699,-0.00804,0.00411,zero-crossing
1.1,-0.5,30,0.00449,0.01496,-0.00032,0.01001,zero-crossing
1.1,0.0,30,0.00281,0.01334,-0.00179,0.00721,zero-crossing
1.1,0.5,30,0.00148,0.01488,-0.00412,0.0065,zero-crossing
1.1,1.0,30,-0.00555,0.01435,-0.01067,-0.00044,negative
1.5,-1.0,30,-0.0054,0.01523,-0.01109,-0.00014,negative
1.5,-0.5,30,-0.00824,0.0181,-0.01456,-0.00162,negative
1.5,0.0,30,-0.00078,0.01455,-0.0054,0.00466,zero-crossing
1.5,0.5,30,-0.00155,0.01111,-0.00533,0.0025,zero-crossing
1.5,1.0,30,0.00214,0.01419,-0.00239,0.00763,zero-crossing
