city,archetype,seed,ssp,epoch,mc,dGW,method,mean_dmg_final,mean_p_liq
Tianjin,deltaic,0,SSP5-8.5,2100,7,-1.3541469044842154,B4_cgstg_full,0.7015713490333882,0.41106383987939454
Tianjin,deltaic,0,SSP5-8.5,2100,8,-1.0175331795035254,B0_static_hazus,0.25605352004213844,0.28314977286650184
Tianjin,deltaic,0,SSP5-8.5,2100,8,-1.0175331795035254,B4_cgstg_full,0.5888232104159663,0.3522100494697037
Tianjin,deltaic,0,SSP5-8.5,2100,9,-1.4389471123503332,B0_static_hazus,0.25353927322276976,0.28009513548417186
Tianjin,deltaic,0,SSP5-8.5,2100,9,-1.4389471123503332,B4_cgstg_full,0.6694436631289853,0.36514318753204056
Tianjin,deltaic,0,SSP5-8.5,2100,10,-1.4262854336597672,B0_static_hazus,0.2480630381438184,0.2601493854379098
Tianjin,deltaic,0,SSP5-8.5,2100,10,-1.4262854336597672,B4_cgstg_full,0.6818693016397025,0.39344450920553337
Tianjin,deltaic,0,SSP5-8.5,2100,11,-1.5637854194303178,B0_static_hazus,0.22112511779049973,0.22098968092765564
Tianjin,deltaic,0,SSP5-8.5,2100,11,-1.5637854194303178,B4_cgstg_full,0.6561208895307404,0.41427797083208473
Tianjin,deltaic,0,SSP5-8.5,2100,12,-1.5057450303095166,B0_static_hazus,0.2349218354882651,0.25600781618998153
Tianjin,deltaic,0,SSP5-8.5,2100,12,-1.5057450303095166,B4_cgstg_full,0.6767907583939344,0.3632498979445068
Tianjin,deltaic,0,SSP5-8.5,2100,13,-1.568987628557609,B0_static_hazus,0.29231451192841196,0.32353945792785194
Tianjin,deltaic,0,SSP5-8.5,2100,13,-1.568987628557609,B4_cgstg_full,0.6637834740358803,0.37727219197934925
Tianjin,deltaic,0,SSP5-8.5,2100,14,-1.7095113087658762,B0_static_hazus,0.31975460839503095,0.34362128262712865
Tianjin,deltaic,0,SSP5-8.5,2100,14,-1.7095113087658762,B4_cgstg_full,0.6585857980655291,0.2823508853936778
Tianjin,deltaic,0,Control-NoCC,2020,0,0.0,B0_static_hazus,0.27578007676586386,0.28377319376519955
Tianjin,deltaic,0,Control-NoCC,2020,0,0.0,B4_cgstg_full,0.6382418646088576,0.2757596144979172
Tianjin,deltaic,0,Control-NoCC,2020,1,0.0,B0_static_hazus,0.2784254181164167,0.2778020742194091
Tianjin,deltaic,0,Control-NoCC,2020,1,0.0,B4_cgstg_full,0.6058325132524284,0.28836829991290464
Tianjin,deltaic,0,Control-NoCC,2020,2,0.0,B0_static_hazus,0.20628394991790597,0.19960649721932125
Tianjin,deltaic,0,Control-NoCC,2020,2,0.0,B4_cgstg_full,0.5518531411764559,0.25700129893369905
Tianjin,deltaic,0,Control-NoCC,2020,3,0.0,B0_static_hazus,0.2770209073307395,0.31203783370188226
Tianjin,deltaic,0,Control-NoCC,2020,3,0.0,B4_cgstg_full,0.6648072283374576,0.28023611270822696
Tianjin,deltaic,0,Control-NoCC,2020,4,0.0,B0_static_hazus,0.2488684898832594,0.26676054291572493
Tianjin,deltaic,0,Control-NoCC,2020,4,0.0,B4_cgstg_full,0.6544521554728074,0.27081581386451614
Tianjin,deltaic,0,Control-NoCC,2020,5,0.0,B0_static_hazus,0.23984977226183213,0.2603356879058182
Tianjin,deltaic,0,Control-NoCC,2020,5,0.0,B4_cgstg_full,0.6278238437174944,0.2782240554655251
Tianjin,deltaic,0,Control-NoCC,2020,6,0.0,B0_static_hazus,0.210632248758939,0.2522682282929201
Tianjin,deltaic,0,Control-NoCC,2020,6,0.0,B4_cgstg_full,0.6583507192853069,0.3237181000109823
Tianjin,deltaic,0,Control-NoCC,2020,7,0.0,B0_static_hazus,0.2518646928407059,0.2756846341679316
Tianjin,deltaic,0,Control-NoCC,2020,7,0.0,B4_cgstg_full,0.6764158469281635,0.3207731364245834
Tianjin,deltaic,0,Control-NoCC,2020,8,0.0,B0_static_hazus,0.2751807611855466,0.2794222534661075
Tianjin,deltaic,0,Control-NoCC,2020,8,0.0,B4_cgstg_full,0.7216157096374614,0.32258729448618795
Tianjin,deltaic,0,Control-NoCC,2020,9,0.0,B0_static_hazus,0.2456085791808597,0.2883295664320324
Tianjin,deltaic,0,Control-NoCC,2020,9,0.0,B4_cgstg_full,0.6070285928884784,0.25091724261876497
Tianjin,deltaic,0,Control-NoCC,2020,10,0.0,B0_static_hazus,0.266603780268804,0.30072871548183344
Tianjin,deltaic,0,Control-NoCC,2020,10,0.0,B4_cgstg_full,0.690422369168619,0.3038956727006409
Tianjin,deltaic,0,Control-NoCC,2020,11,0.0,B0_static_hazus,0.23878755724093187,0.2648504523088488
Tianjin,deltaic,0,Control-NoCC,2020,11,0.0,B4_cgstg_full,0.5679622976983113,0.30094915840943665
Tianjin,deltaic,0,Control-NoCC,2020,12,0.0,B0_static_hazus,0.2528628590365966,0.26779205262614453
Tianjin,deltaic,0,Control-NoCC,2020,12,0.0,B4_cgstg_full,0.6524495159855005,0.28182707905630194
Tianjin,deltaic,0,Control-NoCC,2020,13,0.0,B0_static_hazus,0.24045756308535587,0.2816725624370129
Tianjin,deltaic,0,Control-NoCC,2020,13,0.0,B4_cgstg_full,0.605998596761994,0.2999782677696562
Tianjin,deltaic,0,Control-NoCC,2020,14,0.0,B0_static_hazus,0.27012883699011503,0.28951404577094936
Tianjin,deltaic,0,Control-NoCC,2020,14,0.0,B4_cgstg_full,0.6997731545302662,0.291468847954911
Tianjin,deltaic,0,Control-NoCC,2100,0,-0.07782683820595314,B0_static_hazus,0.18919532795722352,0.24248398960118617
Tianjin,deltaic,0,Control-NoCC,2100,0,-0.07782683820595314,B4_cgstg_full,0.7213103380207724,0.30215190028206074
Tianjin,deltaic,0,Control-NoCC,2100,1,-0.00234355650530078,B0_static_hazus,0.2161314009500047,0.28053637977842577
Tianjin,deltaic,0,Control-NoCC,2100,1,-0.00234355650530078,B4_cgstg_full,0.621179522838504,0.2736976415114209
Tianjin,deltaic,0,Control-NoCC,2100,2,0.042644884344320434,B0_static_hazus,0.24219099529686028,0.2983688872942056
Tianjin,deltaic,0,Control-NoCC,2100,2,0.042644884344320434,B4_cgstg_full,0.7223549838862792,0.3048588668963183
Tianjin,deltaic,0,Control-NoCC,2100,3,0.09330341466002673,B0_static_hazus,0.22216902074115846,0.23597588494942015
Tianjin,deltaic,0,Control-NoCC,2100,3,0.09330341466002673,B4_cgstg_full,0.5988032190152466,0.2797161431613418
Tianjin,deltaic,0,Control-NoCC,2100,4,-0.13330486893826152,B0_static_hazus,0.23197159344541157,0.25671065503523094
Tianjin,deltaic,0,Control-NoCC,2100,4,-0.13330486893826152,B4_cgstg_full,0.6656671570045634,0.32541622332402653
Tianjin,deltaic,0,Control-NoCC,2100,5,0.1559707399804829,B0_static_hazus,0.26292587364602715,0.2743649405859992
Tianjin,deltaic,0,Control-NoCC,2100,5,0.1559707399804829,B4_cgstg_full,0.6931511445113765,0.33291948036423835
Tianjin,deltaic,0,Control-NoCC,2100,6,-0.02459777888497527,B0_static_hazus,0.26110407239951994,0.3090627031237629
Tianjin,deltaic,0,Control-NoCC,2100,6,-0.02459777888497527,B4_cgstg_full,0.6690808570870248,0.30475877113963734
Tianjin,deltaic,0,Control-NoCC,2100,7,-0.08934849715953397,B0_static_hazus,0.26252060526846027,0.2751259504037617
Tianjin,deltaic,0,Control-NoCC,2100,7,-0.08934849715953397,B4_cgstg_full,0.5588035770971365,0.23193207511409378
Tianjin,deltaic,0,Control-NoCC,2100,8,0.25233382428605966,B0_static_hazus,0.29010932120104,0.3218155424716053
Tianjin,deltaic,0,Control-NoCC,2100,8,0.25233382428605966,B4_cgstg_full,0.5985045890847305,0.2592750394860236
Tianjin,deltaic,0,Control-NoCC,2100,9,0.16286022757206478,B0_static_hazus,0.2614228297759383,0.31156168554038116
Tianjin,deltaic,0,Control-NoCC,2100,9,0.16286022757206478,B4_cgstg_full,0.5215297720111362,0.237932844949176
Tianjin,deltaic,0,Control-NoCC,2100,10,0.4758071624153973,B0_static_hazus,0.2335610550981869,0.24174975600256568
Tianjin,deltaic,0,Control-NoCC,2100,10,0.4758071624153973,B4_cgstg_full,0.5858243904191571,0.28908198738627033
Tianjin,deltaic,0,Control-NoCC,2100,11,0.04485777428075966,B0_static_hazus,0.2668900768660989,0.3182388675226592
Tianjin,deltaic,0,Control-NoCC,2100,11,0.04485777428075966,B4_cgstg_full,0.633541908347221,0.2923259773554652
Tianjin,deltaic,0,Control-NoCC,2100,12,0.09238687255586849,B0_static_hazus,0.2668214398492889,0.27263103000260214
Tianjin,deltaic,0,Control-NoCC,2100,12,0.09238687255586849,B4_cgstg_full,0.6154639253576473,0.2503884438597595
Tianjin,deltaic,0,Control-NoCC,2100,13,0.09662797915420025,B0_static_hazus,0.24234694268607151,0.2759542344775116
Tianjin,deltaic,0,Control-NoCC,2100,13,0.09662797915420025,B4_cgstg_full,0.611601795394625,0.2777338207152332
Tianjin,deltaic,0,Control-NoCC,2100,14,0.03810579848225632,B0_static_hazus,0.27163456753369286,0.30568744067060977
Tianjin,deltaic,0,Control-NoCC,2100,14,0.03810579848225632,B4_cgstg_full,0.6511680783421276,0.30435078577554386
Tianjin,deltaic,1,SSP5-8.5,2020,0,0.0,B0_static_hazus,0.22573323813864257,0.25201591557312103
Tianjin,deltaic,1,SSP5-8.5,2020,0,0.0,B4_cgstg_full,0.6136721488750994,0.2494425953109023
Tianjin,deltaic,1,SSP5-8.5,2020,1,0.0,B0_static_hazus,0.27667840056999626,0.3122633709235205
Tianjin,deltaic,1,SSP5-8.5,2020,1,0.0,B4_cgstg_full,0.6345734161423667,0.2745437313029313
Tianjin,deltaic,1,SSP5-8.5,2020,2,0.0,B0_static_hazus,0.25488202383678193,0.2716397896199039
Tianjin,deltaic,1,SSP5-8.5,2020,2,0.0,B4_cgstg_full,0.6712457731914964,0.288582652560213
Tianjin,deltaic,1,SSP5-8.5,2020,3,0.0,B0_static_hazus,0.26642106720681813,0.3115866800135625
Tianjin,deltaic,1,SSP5-8.5,2020,3,0.0,B4_cgstg_full,0.6135530503615937,0.29078315181848646
Tianjin,deltaic,1,SSP5-8.5,2020,4,0.0,B0_static_hazus,0.2701082242317433,0.29876717062128183
Tianjin,deltaic,1,SSP5-8.5,2020,4,0.0,B4_cgstg_full,0.6399003042018435,0.2730794733314653
Tianjin,deltaic,1,SSP5-8.5,2020,5,0.0,B0_static_hazus,0.2532288416224931,0.27636352061051556
Tianjin,deltaic,1,SSP5-8.5,2020,5,0.0,B4_cgstg_full,0.6454369497940995,0.2841367937479739
Tianjin,deltaic,1,SSP5-8.5,2020,6,0.0,B0_static_hazus,0.2506862507058209,0.28137386881837095
Tianjin,deltaic,1,SSP5-8.5,2020,6,0.0,B4_cgstg_full,0.6928355715547216,0.2751295753776047
Tianjin,deltaic,1,SSP5-8.5,2020,7,0.0,B0_static_hazus,0.3142424838564122,0.34594912498873764
Tianjin,deltaic,1,SSP5-8.5,2020,7,0.0,B4_cgstg_full,0.6557252713781332,0.29365262797928693
Tianjin,deltaic,1,SSP5-8.5,2020,8,0.0,B0_static_hazus,0.2561481880842504,0.32455948606449114
Tianjin,deltaic,1,SSP5-8.5,2020,8,0.0,B4_cgstg_full,0.6264767986554882,0.3087604702105331
Tianjin,deltaic,1,SSP5-8.5,2020,9,0.0,B0_static_hazus,0.2506112113358344,0.251347430804542
Tianjin,deltaic,1,SSP5-8.5,2020,9,0.0,B4_cgstg_full,0.6443766215714969,0.337623927496465
Tianjin,deltaic,1,SSP5-8.5,2020,10,0.0,B0_static_hazus,0.2238325179456394,0.29131907199717555
Tianjin,deltaic,1,SSP5-8.5,2020,10,0.0,B4_cgstg_full,0.5975040643637407,0.2262410108483228
Tianjin,deltaic,1,SSP5-8.5,2020,11,0.0,B0_static_hazus,0.21622330002083795,0.2271582847530031
Tianjin,deltaic,1,SSP5-8.5,2020,11,0.0,B4_cgstg_full,0.656446806556981,0.286186862127763
Tianjin,deltaic,1,SSP5-8.5,2020,12,0.0,B0_static_hazus,0.24646766969211106,0.29047280484635407
Tianjin,deltaic,1,SSP5-8.5,2020,12,0.0,B4_cgstg_full,0.666029037517838,0.3209271226231985
Tianjin,deltaic,1,SSP5-8.5,2020,13,0.0,B0_static_hazus,0.26289393770405556,0.2915488170362745
