archetype,src,dst,tau,p,val
deltaic,dGW,soil_moist,0,1.2763575797803061e-104,-0.988235318726493
deltaic,dGW,soil_moist,1,1.0411213777494848e-07,-0.449267042435634
deltaic,dGW,soil_moist,2,0.0029917222841402713,-0.26040064278873254
deltaic,dGW,p_liq,0,1.2899297472883038e-07,-0.44317548870703766
deltaic,dGW,damage,0,0.01550433144110614,-0.21191122874273666
deltaic,soil_moist,dGW,0,1.2763575797803061e-104,-0.988235318726493
deltaic,soil_moist,dGW,1,3.064850450478352e-08,-0.4655857842416819
deltaic,soil_moist,dGW,2,0.00013896052080383868,-0.3304894237180118
deltaic,soil_moist,p_liq,0,8.688766910921237e-07,0.41875680673230636
deltaic,soil_moist,damage,0,0.03888149562730388,0.18281261456443607
deltaic,p_liq,dGW,0,1.2899297472883038e-07,-0.44317548870703766
deltaic,p_liq,dGW,1,0.037938871719725875,-0.18226727984807917
deltaic,p_liq,dGW,2,0.017485152053714384,-0.20814141700500813
deltaic,p_liq,soil_moist,0,8.688766910921237e-07,0.41875680673230636
deltaic,p_liq,damage,0,2.061134890274196e-56,0.9271384947249369
deltaic,damage,dGW,0,0.01550433144110614,-0.21191122874273666
deltaic,damage,soil_moist,0,0.03888149562730388,0.18281261456443607
deltaic,damage,p_liq,0,2.061134890274196e-56,0.9271384947249369
coastal,dGW,soil_moist,0,4.006078339531089e-108,-0.9890044770882166
coastal,dGW,soil_moist,1,7.45244065863262e-10,-0.5070633249984889
coastal,dGW,soil_moist,2,0.015054918431311409,-0.21282448982176055
coastal,dGW,p_liq,0,0.005280999919940742,-0.24423720941092655
coastal,soil_moist,dGW,0,4.006078339531089e-108,-0.9890044770882166
coastal,soil_moist,dGW,1,1.4664511959596632e-10,-0.5247647202597042
coastal,soil_moist,dGW,2,0.005432799832283993,-0.24252915468404637
coastal,soil_moist,p_liq,0,0.0052783955050863555,0.24425076990651798
coastal,p_liq,dGW,0,0.005280999919940742,-0.24423720941092655
coastal,p_liq,dGW,1,0.03780695661190664,-0.18309777684996495
coastal,p_liq,soil_moist,0,0.0052783955050863555,0.24425076990651798
coastal,p_liq,damage,0,3.176168750839599e-43,0.8815605192679864
coastal,damage,p_liq,0,3.176168750839599e-43,0.8815605192679864
coastal,damage,p_liq,3,0.013794373938555163,0.21634900459450124
lowland,dGW,soil_moist,0,1.1327159404394921e-105,-0.9879846930092621
lowland,dGW,soil_moist,1,1.7663868236183738e-08,-0.46939433440149414
lowland,dGW,soil_moist,2,0.0010592514914437002,-0.283981521238814
lowland,soil_moist,dGW,0,1.1327159404394921e-105,-0.9879846930092621
lowland,soil_moist,dGW,1,3.251776659634219e-09,-0.490097526275301
lowland,soil_moist,dGW,2,0.0005909284318382091,-0.2973605493116052
lowland,p_liq,damage,0,1.6760878436179528e-34,0.8316588506864222
lowland,damage,p_liq,0,1.6760878436179528e-34,0.8316588506864222
mixed,dGW,soil_moist,0,2.0849657254802294e-87,-0.977817314159601
mixed,dGW,soil_moist,1,0.010865774786795216,-0.2253221000074833
mixed,soil_moist,dGW,0,2.0849657254802294e-87,-0.977817314159601
mixed,soil_moist,dGW,1,0.04609786342195635,0.1773309794995415
mixed,p_liq,damage,0,9.466345968336113e-23,0.7282475234744612
mixed,damage,p_liq,0,9.466345968336113e-23,0.7282475234744612
inland,dGW,soil_moist,0,3.018963094890595e-91,-0.9802413810816274
inland,dGW,soil_moist,1,3.203264124775201e-05,-0.3574444287019344
inland,dGW,soil_moist,2,0.012785573682093824,-0.21867339566852406
inland,soil_moist,dGW,0,3.018963094890595e-91,-0.9802413810816274
inland,soil_moist,dGW,1,5.645444447978942e-05,-0.3468745638610658
inland,soil_moist,dGW,2,0.006923213745074833,-0.2366826859591079
inland,p_liq,damage,0,4.418347125502657e-10,0.5128671017738973
inland,damage,soil_moist,3,0.04571635624374361,-0.1755685037318674
inland,damage,p_liq,0,4.418347125502657e-10,0.5128671017738973
arid,dGW,soil_moist,0,1.2592545015237483e-73,-0.9622355467021739
arid,dGW,soil_moist,1,0.0033002413878735555,-0.2578342260604085
arid,dGW,p_liq,1,0.03349954468671049,-0.18735054565782835
arid,soil_moist,dGW,0,1.2592545015237483e-73,-0.9622355467021739
arid,soil_moist,dGW,1,0.019590484870521254,-0.2061088609531089
arid,p_liq,dGW,3,0.03876992624524378,0.18220322464807828
arid,p_liq,soil_moist,3,0.0132793203059083,-0.21751647641007424
cold,dGW,soil_moist,0,7.0514932681533824e-102,-0.9862154263775922
cold,dGW,soil_moist,1,1.6213840038070916e-07,-0.440013514874095
cold,dGW,soil_moist,2,0.04268310331366203,-0.1780584929175693
cold,soil_moist,dGW,0,7.0514932681533824e-102,-0.9862154263775922
cold,soil_moist,dGW,1,7.19255760086639e-08,-0.4511093069500233
cold,soil_moist,dGW,2,0.042418170225581545,-0.17828292205832402
cold,p_liq,damage,0,3.836222782402471e-12,0.5610678591248228
cold,damage,p_liq,0,3.836222782402471e-12,0.5610678591248228
high_alt,dGW,soil_moist,0,2.2927758355904734e-106,-0.9882825847324193
high_alt,dGW,soil_moist,1,3.080126466994126e-07,-0.4309661164804958
high_alt,dGW,soil_moist,2,0.016784746439983223,-0.20942995551804605
high_alt,soil_moist,dGW,0,2.2927758355904734e-106,-0.9882825847324193
high_alt,soil_moist,dGW,1,2.3751116676804157e-07,-0.43466261196764255
high_alt,soil_moist,dGW,2,0.030932060715241884,-0.18937725329544047
high_alt,p_liq,damage,0,3.8169148441204343e-11,0.5386859763628034
high_alt,damage,p_liq,0,3.8169148441204343e-11,0.5386859763628034
