city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,std_gap,ci_lo,ci_hi,sign
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP2-4.5,72,-0.00047,0.09967,-0.02294,0.02255,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP5-8.5,72,0.00336,0.08839,-0.01682,0.02266,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,Control-NoCC,72,0.00227,0.08799,-0.01797,0.02261,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP1-2.6,72,0.00373,0.10045,-0.01955,0.0262,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP2-4.5,72,0.00152,0.10199,-0.02211,0.02384,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP5-8.5,72,0.0016,0.08689,-0.019,0.02067,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,Control-NoCC,72,-0.00316,0.08799,-0.02366,0.01653,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP1-2.6,72,-0.00197,0.09304,-0.02285,0.01899,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP2-4.5,72,-0.0014,0.1026,-0.02554,0.02192,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP5-8.5,72,0.02028,0.08738,-0.00056,0.04044,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,Control-NoCC,72,-0.01384,0.10161,-0.03674,0.01016,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP1-2.6,72,-0.00338,0.10101,-0.02688,0.01857,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP2-4.5,72,0.00068,0.09311,-0.02034,0.02147,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP5-8.5,72,0.00624,0.0904,-0.01484,0.02664,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,Control-NoCC,72,-0.01074,0.10241,-0.03302,0.01269,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP1-2.6,72,0.00196,0.09372,-0.01948,0.02298,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP2-4.5,72,0.00396,0.09786,-0.01823,0.02605,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP5-8.5,72,0.01363,0.08394,-0.00618,0.03182,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,Control-NoCC,72,-0.01143,0.09964,-0.03445,0.01091,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP1-2.6,72,0.00315,0.10386,-0.02144,0.02564,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP2-4.5,72,0.00866,0.10424,-0.01541,0.03206,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP5-8.5,72,0.0103,0.09059,-0.01151,0.02971,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,Control-NoCC,72,-0.00684,0.11937,-0.03396,0.02129,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP1-2.6,72,0.00659,0.10586,-0.01751,0.02971,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP2-4.5,72,0.00948,0.11575,-0.01685,0.03694,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP5-8.5,72,0.01878,0.10745,-0.00534,0.04273,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,Control-NoCC,72,-0.00751,0.09816,-0.02985,0.01589,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,SSP1-2.6,72,0.004,0.10565,-0.02097,0.02835,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,SSP2-4.5,72,0.00584,0.10135,-0.01732,0.02841,zero-crossing
Vancouver,Canada,coastal,49.2827,-123.1207,5.0,SSP5-8.5,72,0.01372,0.08921,-0.00794,0.03429,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,Control-NoCC,72,-0.01571,0.09829,-0.03844,0.00655,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,SSP1-2.6,72,0.01463,0.09472,-0.00723,0.03578,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,SSP2-4.5,72,0.01047,0.1041,-0.01336,0.03493,zero-crossing
Seattle,USA,mixed,47.6062,-122.3321,8.0,SSP5-8.5,72,0.0038,0.09478,-0.0184,0.02531,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,Control-NoCC,72,-0.00378,0.10242,-0.0268,0.01977,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,SSP1-2.6,72,0.00401,0.1023,-0.01995,0.02608,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,SSP2-4.5,72,0.00375,0.09911,-0.01958,0.02475,zero-crossing
Portland,USA,mixed,45.5152,-122.6784,7.0,SSP5-8.5,72,0.01309,0.09745,-0.01042,0.03429,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,Control-NoCC,72,-0.01097,0.10261,-0.03548,0.01201,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,SSP1-2.6,72,0.00353,0.10174,-0.02075,0.02722,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,SSP2-4.5,72,0.00733,0.11108,-0.01831,0.03305,zero-crossing
Tehran,Iran,arid,35.6892,51.389,15.0,SSP5-8.5,72,0.00441,0.09297,-0.01746,0.02682,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,Control-NoCC,72,-0.00353,0.10841,-0.02891,0.01983,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,SSP1-2.6,72,0.00371,0.10771,-0.02181,0.0289,zero-crossing
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,SSP2-4.5,72,0.00525,0.10106,-0.01857,0.02706,zero-crossing
