ssp,n_cities,pearson_r,pearson_p,linear_R2,slope,intercept,n_strictly_positive_CI,n_strictly_negative_CI,n_zero_crossing
Control-NoCC,50,0.4838,0.000372,0.2341,0.01693,-0.01072,0,0,50
SSP1-2.6,50,0.2623,0.065766,0.0688,0.00886,0.00287,0,0,50
SSP2-4.5,50,0.6136,2e-06,0.3765,0.02619,0.00122,1,0,49
SSP5-8.5,50,0.7493,0.0,0.5614,0.04103,0.0015,7,0,43
